Title,Release Date,Run Time,MPAA Film Rating,Rating,Genres,Webpage
Sinners,2025,2h 17m,R,8.1,"['Period Drama', 'Supernatural Horror', 'Vampire Horror', 'Action', 'Drama', 'Horror', 'Thriller']",https://www.imdb.com/title/tt31193180/?ref_=chtmvm_i_1
Havoc,2025,1h 47m,TV-MA,5.8,"['Conspiracy Thriller', 'Drug Crime', 'Gun Fu', 'Martial Arts', 'One-Person Army Action', 'Suspense Mystery', 'Action', 'Crime', 'Drama', 'Mystery']",https://www.imdb.com/title/tt14123284/?ref_=chtmvm_i_2
Conclave,2024,2h,PG,7.4,"['Conspiracy Thriller', 'Drama', 'Thriller']",https://www.imdb.com/title/tt20215234/?ref_=chtmvm_i_3
A Minecraft Movie,2025,1h 41m,PG,5.9,"['Action Epic', 'Adventure Epic', 'Fantasy Epic', 'High-Concept Comedy', 'Quest', 'Slapstick', 'Survival', 'Action', 'Adventure', 'Comedy']",https://www.imdb.com/title/tt3566834/?ref_=chtmvm_i_4
The Accountant 2,2025,2h 12m,R,7.1,"['Whodunnit', 'Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",https://www.imdb.com/title/tt7068946/?ref_=chtmvm_i_5
Warfare,2025,1h 35m,R,7.8,"['Docudrama', 'War Epic', 'Action', 'Drama', 'War']",https://www.imdb.com/title/tt31434639/?ref_=chtmvm_i_6
Predator: Badlands,2025,,,,"['Alien Invasion', 'Sci-Fi']",https://www.imdb.com/title/tt31227572/?ref_=chtmvm_i_7
Snow White,2025,1h 49m,PG,1.6,"['Fairy Tale', 'Feel-Good Romance', 'Adventure', 'Family', 'Fantasy', 'Musical', 'Romance']",https://www.imdb.com/title/tt6208148/?ref_=chtmvm_i_8
Thunderbolts*,2025,2h 6m,PG-13,7.7,"['Political Drama', 'Superhero', 'Action', 'Adventure', 'Crime', 'Drama', 'Fantasy', 'Sci-Fi']",https://www.imdb.com/title/tt20969586/?ref_=chtmvm_i_9
Until Dawn,2025,1h 43m,R,6.0,"['Psychological Drama', 'Psychological Horror', 'Slasher Horror', 'Splatter Horror', 'Supernatural Horror', 'Zombie Horror', 'Drama', 'Horror']",https://www.imdb.com/title/tt30955489/?ref_=chtmvm_i_10
Companion,2025,1h 37m,R,6.9,"['Artificial Intelligence', 'Dark Comedy', 'Psychological Thriller', 'Sci-Fi', 'Thriller']",https://www.imdb.com/title/tt26584495/?ref_=chtmvm_i_11
Ash,2025,1h 35m,R,4.7,"['Alien Invasion', 'Monster Horror', 'Psychological Horror', 'Psychological Thriller', 'Space Sci-Fi', 'Survival', 'Horror', 'Sci-Fi', 'Thriller']",https://www.imdb.com/title/tt17489650/?ref_=chtmvm_i_12
The Fantastic Four: First Steps,2025,,,,"['Space Sci-Fi', 'Superhero', 'Action', 'Adventure', 'Sci-Fi']",https://www.imdb.com/title/tt10676052/?ref_=chtmvm_i_13
iHostage,2025,1h 40m,TV-MA,5.7,"['Crime', 'Drama', 'Thriller']",https://www.imdb.com/title/tt31181421/?ref_=chtmvm_i_14
The Amateur,2025,2h 2m,PG-13,6.7,"['Spy', 'Action', 'Thriller']",https://www.imdb.com/title/tt0899043/?ref_=chtmvm_i_15
The Accountant,2016,2h 8m,R,7.3,"['Conspiracy Thriller', 'Martial Arts', 'One-Person Army Action', 'Action', 'Crime', 'Drama', 'Thriller']",https://www.imdb.com/title/tt2140479/?ref_=chtmvm_i_16
I Know What You Did Last Summer,2025,,,,"['Slasher Horror', 'Horror']",https://www.imdb.com/title/tt4045450/?ref_=chtmvm_i_17
Mickey 17,2025,2h 17m,R,6.8,"['Alien Invasion', 'Dark Comedy', 'Space Sci-Fi', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",https://www.imdb.com/title/tt12299608/?ref_=chtmvm_i_18
A Working Man,2025,1h 56m,R,5.8,"['Conspiracy Thriller', 'One-Person Army Action', 'Action', 'Thriller']",https://www.imdb.com/title/tt9150192/?ref_=chtmvm_i_19
Locked,2025,1h 35m,R,5.8,"['Psychological Thriller', 'Thriller']",https://www.imdb.com/title/tt26671996/?ref_=chtmvm_i_20
Drop,2025,1h 35m,PG-13,6.3,"['Whodunnit', 'Drama', 'Mystery', 'Thriller']",https://www.imdb.com/title/tt32149847/?ref_=chtmvm_i_21
Babygirl,2024,1h 54m,R,5.9,"['Erotic Thriller', 'Workplace Drama', 'Drama', 'Romance', 'Thriller']",https://www.imdb.com/title/tt30057084/?ref_=chtmvm_i_22
Anora,2024,2h 19m,R,7.5,"['Dark Comedy', 'Raunchy Comedy', 'Steamy Romance', 'Comedy', 'Drama', 'Romance']",https://www.imdb.com/title/tt28607951/?ref_=chtmvm_i_23
G20,2025,1h 48m,R,5.1,"['Action', 'Thriller']",https://www.imdb.com/title/tt23476986/?ref_=chtmvm_i_24
Black Bag,2025,1h 33m,R,6.8,"['Spy', 'Drama', 'Mystery', 'Romance', 'Thriller']",https://www.imdb.com/title/tt30988739/?ref_=chtmvm_i_25
The King of Kings,2025,1h 43m,PG,7.4,"['Computer Animation', 'Animation', 'Family']",https://www.imdb.com/title/tt7967302/?ref_=chtmvm_i_26
28 Years Later,2025,2h 6m,,,"['Zombie Horror', 'Horror', 'Thriller']",https://www.imdb.com/title/tt10548174/?ref_=chtmvm_i_27
Captain America: Brave New World,2025,1h 58m,PG-13,5.8,"['Action Epic', 'Adventure Epic', 'Sci-Fi Epic', 'Superhero', 'Action', 'Adventure', 'Sci-Fi']",https://www.imdb.com/title/tt14513804/?ref_=chtmvm_i_28
Gladiator II,2024,2h 28m,R,6.5,"['Action Epic', 'Adventure Epic', 'Epic', 'Period Drama', 'Sword & Sandal', 'Action', 'Adventure', 'Drama']",https://www.imdb.com/title/tt9218128/?ref_=chtmvm_i_29
Pride & Prejudice,2005,2h 9m,PG,7.8,"['Costume Drama', 'Feel-Good Romance', 'Period Drama', 'Romantic Epic', 'Drama', 'Romance']",https://www.imdb.com/title/tt0414387/?ref_=chtmvm_i_30
The Order,2024,1h 56m,R,6.8,"['Heist', 'True Crime', 'Crime', 'Drama', 'Thriller']",https://www.imdb.com/title/tt26625693/?ref_=chtmvm_i_31
Freaky Tales,2024,1h 47m,R,6.3,"['Action', 'Adventure', 'Comedy', 'Crime', 'Drama']",https://www.imdb.com/title/tt21942598/?ref_=chtmvm_i_32
The Passion of the Christ,2004,2h 7m,R,7.2,"['Epic', 'Period Drama', 'Drama']",https://www.imdb.com/title/tt0335345/?ref_=chtmvm_i_33
A Complete Unknown,2024,2h 21m,R,7.4,"['Docudrama', 'Period Drama', 'Showbiz Drama', 'Biography', 'Drama', 'Music']",https://www.imdb.com/title/tt11563598/?ref_=chtmvm_i_34
The Life List,2025,2h 3m,PG-13,6.8,"['Feel-Good Romance', 'Romantic Comedy', 'Comedy', 'Drama', 'Romance']",https://www.imdb.com/title/tt2172954/?ref_=chtmvm_i_35
Bullet Train Explosion,2025,2h 14m,TV-14,6.3,"['Disaster', 'Action', 'Crime', 'Drama', 'Thriller']",https://www.imdb.com/title/tt33452974/?ref_=chtmvm_i_36
Novocaine,2025,1h 50m,R,6.5,"['Dark Comedy', 'One-Person Army Action', 'Superhero', 'Action', 'Comedy', 'Thriller']",https://www.imdb.com/title/tt29603959/?ref_=chtmvm_i_37
Nosferatu,2024,2h 12m,R,7.2,"['Dark Fantasy', 'Supernatural Horror', 'Vampire Horror', 'Fantasy', 'Horror', 'Mystery']",https://www.imdb.com/title/tt5040012/?ref_=chtmvm_i_38
The Substance,2024,2h 21m,R,7.3,"['Body Horror', 'Dark Comedy', 'Monster Horror', 'Psychological Horror', 'Showbiz Drama', 'Drama', 'Horror', 'Sci-Fi']",https://www.imdb.com/title/tt17526714/?ref_=chtmvm_i_39
The Gorge,2025,2h 7m,PG-13,6.7,"['Dark Romance', 'Monster Horror', 'Survival', 'Action', 'Adventure', 'Horror', 'Romance', 'Sci-Fi']",https://www.imdb.com/title/tt13654226/?ref_=chtmvm_i_40
Virgin Territory,2007,1h 37m,R,4.7,"['Costume Drama', 'Raunchy Comedy', 'Teen Comedy', 'Adventure', 'Comedy', 'Romance']",https://www.imdb.com/title/tt0437954/?ref_=chtmvm_i_41
The Hunger Games: Sunrise on the Reaping,2026,,,,"['Dystopian Sci-Fi', 'Teen Adventure', 'Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Thriller']",https://www.imdb.com/title/tt32558705/?ref_=chtmvm_i_42
The Electric State,2025,2h 5m,PG-13,5.9,"['Action Epic', 'Adventure Epic', 'Artificial Intelligence', 'Dystopian Sci-Fi', 'Epic', 'Quest', 'Sci-Fi Epic', 'Urban Adventure', 'Action', 'Adventure']",https://www.imdb.com/title/tt7766378/?ref_=chtmvm_i_43
Mission: Impossible - The Final Reckoning,2025,2h 49m,,,"['Adventure Epic', 'Action', 'Adventure', 'Thriller']",https://www.imdb.com/title/tt9603208/?ref_=chtmvm_i_44
Final Destination: Bloodlines,2025,1h 50m,R,,"['Slasher Horror', 'Splatter Horror', 'Supernatural Horror', 'Horror']",https://www.imdb.com/title/tt9619824/?ref_=chtmvm_i_45
The Two Popes,2019,2h 5m,PG-13,7.6,"['Docudrama', 'Biography', 'Comedy', 'Drama']",https://www.imdb.com/title/tt8404614/?ref_=chtmvm_i_46
Star Wars: Episode III - Revenge of the Sith,2005,2h 20m,PG-13,7.6,"['Action Epic', 'Adventure Epic', 'Dark Fantasy', 'Epic', 'Fantasy Epic', 'Sci-Fi Epic', 'Space Sci-Fi', 'Tragedy', 'Action', 'Adventure']",https://www.imdb.com/title/tt0121766/?ref_=chtmvm_i_47
Mufasa: The Lion King,2024,1h 58m,PG,6.6,"['Animal Adventure', 'Computer Animation', 'Adventure', 'Animation', 'Drama', 'Family', 'Fantasy', 'Musical']",https://www.imdb.com/title/tt13186482/?ref_=chtmvm_i_48
Twisters,2024,2h 2m,PG-13,6.5,"['Disaster', 'Action', 'Adventure', 'Thriller']",https://www.imdb.com/title/tt12584954/?ref_=chtmvm_i_49
Wicked,2024,2h 40m,PG,7.5,"['Fairy Tale', 'Pop Musical', 'Fantasy', 'Musical', 'Romance']",https://www.imdb.com/title/tt1262426/?ref_=chtmvm_i_50
Tombstone,1993,2h 10m,R,7.8,"['Costume Drama', 'Docudrama', 'Period Drama', 'Western Epic', 'Biography', 'Drama', 'History', 'Western']",https://www.imdb.com/title/tt0108358/?ref_=chtmvm_i_51
Last Breath,2025,1h 33m,PG-13,6.6,"['Sea Adventure', 'Drama', 'Thriller']",https://www.imdb.com/title/tt14403504/?ref_=chtmvm_i_52
Superman,2025,,,,"['Superhero', 'Action', 'Adventure', 'Fantasy', 'Sci-Fi']",https://www.imdb.com/title/tt5950044/?ref_=chtmvm_i_53
The Monkey,2025,1h 38m,R,6.0,"['Dark Comedy', 'Splatter Horror', 'Horror']",https://www.imdb.com/title/tt27714946/?ref_=chtmvm_i_54
The Woman in the Yard,2025,1h 28m,PG-13,5.1,"['Psychological Thriller', 'Supernatural Horror', 'Teen Drama', 'Teen Horror', 'Drama', 'Horror', 'Thriller']",https://www.imdb.com/title/tt31314296/?ref_=chtmvm_i_55
Him,2025,R,,,"['Football', 'Psychological Horror', 'Horror', 'Sport']",https://www.imdb.com/title/tt20990442/?ref_=chtmvm_i_56
Heretic,2024,1h 51m,R,7.0,"['Psychological Horror', 'Psychological Thriller', 'Horror', 'Thriller']",https://www.imdb.com/title/tt28015403/?ref_=chtmvm_i_57
Once Upon a Time... in Hollywood,2019,2h 41m,R,7.6,"['Period Drama', 'Showbiz Drama', 'Comedy', 'Drama']",https://www.imdb.com/title/tt7131622/?ref_=chtmvm_i_58
Jewel Thief: The Heist Begins,2025,1h 56m,,4.1,"['Action', 'Adventure', 'Thriller']",https://www.imdb.com/title/tt27843798/?ref_=chtmvm_i_59
The Shawshank Redemption,1994,2h 22m,R,9.3,"['Epic', 'Period Drama', 'Prison Drama', 'Drama']",https://www.imdb.com/title/tt0111161/?ref_=chtmvm_i_60
A Real Pain,2024,1h 30m,R,7.1,"['Buddy Comedy', 'Comedy', 'Drama']",https://www.imdb.com/title/tt21823606/?ref_=chtmvm_i_61
The Brutalist,2024,3h 36m,R,7.4,"['Epic', 'Drama']",https://www.imdb.com/title/tt8999762/?ref_=chtmvm_i_62
The Legend of Ochi,2025,1h 35m,PG,6.3,"['Quest', 'Teen Fantasy', 'Adventure', 'Family', 'Fantasy']",https://www.imdb.com/title/tt8866456/?ref_=chtmvm_i_63
Fountain of Youth,2025,2h 5m,PG-13,,"['Adventure', 'Fantasy', 'Mystery']",https://www.imdb.com/title/tt27075958/?ref_=chtmvm_i_64
