Title,Release Date,Run Time,MPAA Film Rating,Rating,Genres,Webpage
Sinners,2025,2h 17m,R,8.1,Period Drama,https://www.imdb.com/title/tt31193180/?ref_=chtmvm_i_1
Sinners,2025,2h 17m,R,8.1,Supernatural Horror,https://www.imdb.com/title/tt31193180/?ref_=chtmvm_i_1
Sinners,2025,2h 17m,R,8.1,Vampire Horror,https://www.imdb.com/title/tt31193180/?ref_=chtmvm_i_1
Sinners,2025,2h 17m,R,8.1,Action,https://www.imdb.com/title/tt31193180/?ref_=chtmvm_i_1
Sinners,2025,2h 17m,R,8.1,Drama,https://www.imdb.com/title/tt31193180/?ref_=chtmvm_i_1
Sinners,2025,2h 17m,R,8.1,Horror,https://www.imdb.com/title/tt31193180/?ref_=chtmvm_i_1
Sinners,2025,2h 17m,R,8.1,Thriller,https://www.imdb.com/title/tt31193180/?ref_=chtmvm_i_1
Havoc,2025,1h 47m,TV-MA,5.8,Conspiracy Thriller,https://www.imdb.com/title/tt14123284/?ref_=chtmvm_i_2
Havoc,2025,1h 47m,TV-MA,5.8,Drug Crime,https://www.imdb.com/title/tt14123284/?ref_=chtmvm_i_2
Havoc,2025,1h 47m,TV-MA,5.8,Gun Fu,https://www.imdb.com/title/tt14123284/?ref_=chtmvm_i_2
Havoc,2025,1h 47m,TV-MA,5.8,Martial Arts,https://www.imdb.com/title/tt14123284/?ref_=chtmvm_i_2
Havoc,2025,1h 47m,TV-MA,5.8,One-Person Army Action,https://www.imdb.com/title/tt14123284/?ref_=chtmvm_i_2
Havoc,2025,1h 47m,TV-MA,5.8,Suspense Mystery,https://www.imdb.com/title/tt14123284/?ref_=chtmvm_i_2
Havoc,2025,1h 47m,TV-MA,5.8,Action,https://www.imdb.com/title/tt14123284/?ref_=chtmvm_i_2
Havoc,2025,1h 47m,TV-MA,5.8,Crime,https://www.imdb.com/title/tt14123284/?ref_=chtmvm_i_2
Havoc,2025,1h 47m,TV-MA,5.8,Drama,https://www.imdb.com/title/tt14123284/?ref_=chtmvm_i_2
Havoc,2025,1h 47m,TV-MA,5.8,Mystery,https://www.imdb.com/title/tt14123284/?ref_=chtmvm_i_2
Conclave,2024,2h,PG,7.4,Conspiracy Thriller,https://www.imdb.com/title/tt20215234/?ref_=chtmvm_i_3
Conclave,2024,2h,PG,7.4,Drama,https://www.imdb.com/title/tt20215234/?ref_=chtmvm_i_3
Conclave,2024,2h,PG,7.4,Thriller,https://www.imdb.com/title/tt20215234/?ref_=chtmvm_i_3
A Minecraft Movie,2025,1h 41m,PG,5.9,Action Epic,https://www.imdb.com/title/tt3566834/?ref_=chtmvm_i_4
